"name","link"
"PUNISHER 2099","https://playcontestofchampions.com/champion-spotlight-punisher-2099/"
"YONDU","https://playcontestofchampions.com/champion-spotlight-yondu/"
"NEBULA","https://playcontestofchampions.com/champion-spotlight-nebula/"
"KING GROOT","https://playcontestofchampions.com/champion-spotlight-king-groot/"
"ANGELA","https://playcontestofchampions.com/champion-spotlight-angela/"
"ICEMAN","https://playcontestofchampions.com/champion-spotlight-iceman/"
"PSYLOCKE","https://playcontestofchampions.com/champion-spotlight-psylocke/"
"ARCHANGEL","https://playcontestofchampions.com/champion-spotlight-archangel/"
"DORMAMMU","https://playcontestofchampions.com/champion-spotlight-dormammu/"
"THE HOOD","https://playcontestofchampions.com/champion-spotlight-the-hood/"
"CABLE","https://playcontestofchampions.com/champion-spotlight-cable/"
"GWENPOOL","https://playcontestofchampions.com/champion-spotlight-gwenpool/"
"HOWARD THE DUCK","https://playcontestofchampions.com/champion-spotlight-howard-the-duck/"
"HYPERION","https://playcontestofchampions.com/champion-spotlight-hyperion/"
"DOCTOR VOODOO","https://playcontestofchampions.com/champion-spotlight-doctor-voodoo/"
"MORDO","https://playcontestofchampions.com/champion-spotlight-mordo/"
"GHOST RIDER","https://playcontestofchampions.com/champion-spotlight-ghost-rider/"
"PHOENIX","https://playcontestofchampions.com/champion-spotlight-phoenix/"
"QUAKE","https://playcontestofchampions.com/champion-spotlight-quake/"
"ROGUE","https://playcontestofchampions.com/champion-spotlight-rogue/"
"KARNAK","https://playcontestofchampions.com/champion-spotlight-karnak/"
"GAMBIT","https://playcontestofchampions.com/champion-spotlight-gambit/"
"LOKI","https://playcontestofchampions.com/champion-spotlight-loki/"
"BEAST","https://playcontestofchampions.com/champion-spotlight-beast/"
"NIGHTCRAWLER","https://playcontestofchampions.com/champion-spotlight-nightcrawler/"
"CIVIL WARRIOR","https://playcontestofchampions.com/champion-spotlight-civil-warrior/"
"FALCON","https://playcontestofchampions.com/champion-spotlight-falcon/"
"BLACK PANTHER","https://playcontestofchampions.com/champion-spotlight-black-panther/"
"CROSSBONES","https://playcontestofchampions.com/533/"
